,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,853675.0,3672.0,481016,33.649,0.01674,3.218,20.003,15.997,20.008,1533954,2567905,4428922,10003957,18534738,1533954,2567905,10003957,4428922,0.88596237
1,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,942908.0,4031.0,633397,33.664,0.02815,3.219,20.008,15.999,20.002,1534879,2571491,4423968,10001138,18531476,1534879,2571491,10001138,4423968,0.88629186
2,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,939411.0,4004.0,860586,33.668,0.02735,3.216,20.0,16.013,20.002,1533893,2563053,4434364,10001113,18532423,1533893,2563053,10001113,4434364,0.88605714
3,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,914707.0,3899.0,29350,33.652,0.02264,3.218,19.998,15.993,20.001,1534138,2564173,4435167,10000294,18533772,1534138,2564173,10000294,4435167,0.88635933
4,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,926847.0,3943.0,12330,33.636,0.02469,3.221,20.005,16.006,20.01,1535477,2565259,4436588,10005145,18542469,1535477,2565259,10005145,4436588,0.88590026
5,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,949414.0,3994.0,965382,33.683,0.03035,3.215,20.003,16.001,19.999,1533021,2561621,4434932,9999510,18529084,1533021,2561621,9999510,4434932,0.8867845
6,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,931937.0,3987.0,835431,33.669,0.02564,3.212,19.997,15.997,19.996,1530887,2553957,4439922,9997877,18522643,1530887,2553957,9997877,4439922,0.8864206
7,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,946674.0,4016.0,376732,33.66,0.02943,3.221,19.998,16.0,20.003,1535975,2565120,4430064,10001458,18532617,1535975,2565120,10001458,4430064,0.8859988
8,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,942293.0,4096.0,964949,33.693,0.02786,3.221,19.996,15.998,20.002,1536190,2560557,4433230,10000764,18530741,1536190,2560557,10000764,4433230,0.8866943
9,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,935933.0,4044.0,469294,33.684,0.02649,3.22,19.986,15.998,19.997,1535370,2558247,4441743,9998662,18534022,1535370,2558247,9998662,4441743,0.8862504
10,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,936454.0,4062.0,915304,33.651,0.0266,3.217,19.997,16.006,20.007,1534225,2561216,4435738,10003360,18534539,1534225,2561216,10003360,4435738,0.88622296
11,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,946989.0,4035.0,189539,33.615,0.02941,3.22,19.987,16.006,19.998,1535300,2561282,4438574,9999100,18534256,1535300,2561282,9999100,4438574,0.8857783
12,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,922252.0,3912.0,584300,33.67,0.02371,3.22,19.996,16.006,19.996,1535326,2563985,4438205,9997896,18535412,1535326,2563985,9997896,4438205,0.88633025
13,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,946634.0,4038.0,689473,33.671,0.02932,3.219,20.006,16.003,19.996,1533988,2567076,4432379,9997813,18531256,1533988,2567076,9997813,4432379,0.8862638
14,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,937500.0,3905.0,239816,33.679,0.02687,3.225,20.0,15.993,19.995,1537746,2555049,4435057,9997366,18525218,1537746,2555049,9997366,4435057,0.886377
