,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,949391.0,7779.0,574500,41.686,0.03279,1.901,19.998,16.004,19.999,729598,1645997,4798173,9999529,17173297,729598,1645997,9999529,4798173,0.9792862
1,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,965033.0,8203.0,969915,41.69,0.04077,1.896,19.984,16.0,20.001,727163,1645994,4796651,10000494,17170302,727163,1645994,10000494,4796651,0.97949123
2,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,968217.0,8163.0,305384,41.69,0.04267,1.894,20.004,16.002,20.008,726900,1649524,4790787,10004157,17171368,726900,1649524,10004157,4790787,0.97940314
3,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,949511.0,7983.0,313783,41.705,0.03291,1.898,20.005,15.996,20.002,727479,1640117,4801627,10001227,17170450,727479,1640117,10001227,4801627,0.9798348
4,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,962367.0,7948.0,651302,41.737,0.03873,1.903,20.016,15.994,19.996,730190,1640548,4792516,9998154,17161408,730190,1640548,9998154,4792516,0.9800583
5,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,953890.0,7845.0,790914,41.7,0.03465,1.903,19.997,15.994,19.996,730296,1645306,4790763,9998003,17164368,730296,1645306,9998003,4790763,0.9795524
6,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,949276.0,7886.0,985809,41.703,0.03304,1.899,20.005,15.999,19.992,728201,1645876,4792387,9995825,17162289,728201,1645876,9995825,4792387,0.9795085
7,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,960536.0,7968.0,118123,41.711,0.03769,1.9,20.0,15.998,19.997,729229,1647265,4799710,9998392,17174596,729229,1647265,9998392,4799710,0.9798865
8,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,961354.0,7999.0,17284,41.731,0.03835,1.898,19.984,16.004,19.996,727569,1643438,4790193,9997996,17159196,727569,1643438,9997996,4790193,0.9799646
9,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,947970.0,7660.0,858997,41.688,0.03257,1.9,19.998,16.002,19.993,728665,1647240,4789011,9996743,17161659,728665,1647240,9996743,4789011,0.9793174
10,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,948020.0,7738.0,341531,41.686,0.03247,1.899,19.987,15.998,20.003,728294,1650096,4795497,10001298,17175185,728294,1650096,10001298,4795497,0.97952944
11,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,952042.0,7838.0,920194,41.696,0.0338,1.899,19.977,16.001,19.993,728292,1644011,4797856,9996489,17166648,728292,1644011,9996489,4797856,0.97950524
12,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,948139.0,7739.0,615029,41.709,0.03258,1.899,19.999,16.004,19.996,728197,1643243,4798759,9998141,17168340,728197,1643243,9998141,4798759,0.9795316
13,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,944069.0,7938.0,111924,41.715,0.03118,1.902,19.998,15.995,20.003,730034,1648556,4792417,10001566,17172573,730034,1648556,10001566,4792417,0.97964644
14,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,972372.0,8110.0,631789,41.701,0.04601,1.901,19.997,15.998,20.0,729259,1650685,4789440,10000146,17169530,729259,1650685,10000146,4789440,0.9795346
15,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,955311.0,7922.0,989678,41.711,0.03517,1.902,20.0,16.005,20.0,730717,1640273,4801266,10000188,17172444,730717,1640273,10000188,4801266,0.97955996
16,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,962785.0,8185.0,282513,41.727,0.03899,1.903,19.99,16.005,20.011,730698,1642499,4786076,10005576,17164849,730698,1642499,10005576,4786076,0.97977734
17,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,960184.0,7957.0,960253,41.713,0.03767,1.901,19.992,15.998,20.004,729740,1646440,4792642,10001821,17170643,729740,1646440,10001821,4792642,0.979716
18,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,960459.0,8048.0,272517,41.743,0.03767,1.901,19.983,15.997,20.001,729737,1638298,4798763,10000465,17167263,729737,1638298,10000465,4798763,0.9798568
19,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,969426.0,8072.0,168397,41.709,0.04384,1.9,20.002,15.998,19.992,729320,1648625,4789734,9995968,17163647,729320,1648625,9995968,4789734,0.97964585
20,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,955758.0,8051.0,913878,41.724,0.03566,1.899,20.013,15.996,20.0,727889,1647186,4790494,10000119,17165688,727889,1647186,10000119,4790494,0.97982585
21,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,971886.0,8191.0,10374,41.721,0.04582,1.906,20.006,15.996,19.994,731128,1644883,4788238,9997176,17161425,731128,1644883,9997176,4788238,0.9797763
22,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,948094.0,7808.0,704754,41.685,0.03257,1.9,19.982,15.997,20.003,729073,1646082,4800372,10001463,17176990,729073,1646082,10001463,4800372,0.9795386
23,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,951159.0,7920.0,350228,41.676,0.03369,1.899,19.99,15.996,20.004,727657,1641060,4794900,10001919,17165536,727657,1641060,10001919,4794900,0.9793118
24,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,949945.0,7859.0,585566,41.696,0.03298,1.897,20.007,16.008,20.007,727902,1642676,4802138,10003447,17176163,727902,1642676,10003447,4802138,0.97946703
25,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,948063.0,7778.0,421510,41.729,0.03242,1.9,20.006,15.997,20.008,728844,1646061,4794312,10004035,17173252,728844,1646061,10004035,4794312,0.980061
26,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,967759.0,7992.0,812582,41.722,0.04234,1.901,20.012,16.001,19.995,729313,1642155,4799184,9997391,17168043,729313,1642155,9997391,4799184,0.980054
