,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,833339.0,971.0,751401,22.633,0.01892,3.936,19.996,15.997,19.995,1926317,3931608,3151540,9997696,19007161,1926317,3931608,9997696,3151540,0.7324511
1,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,820539.0,956.0,831657,22.637,0.01808,3.935,19.993,16.004,19.996,1925698,3921080,3157702,9997855,19002335,1925698,3921080,9997855,3157702,0.7325489
2,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,757255.0,981.0,523306,22.649,0.01494,3.933,19.998,15.997,20.004,1924259,3923464,3158195,10002054,19007972,1924259,3923464,10002054,3158195,0.73274535
3,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,867751.0,1059.0,333957,22.668,0.02188,3.933,19.997,15.997,20.003,1924317,3917783,3161984,10001326,19005410,1924317,3917783,10001326,3161984,0.7332519
4,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,736733.0,853.0,780477,22.668,0.01421,3.936,20.004,16.0,20.005,1926707,3910497,3158669,10002519,18998392,1926707,3910497,10002519,3158669,0.732907
5,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,839855.0,1015.0,783341,22.648,0.01954,3.938,20.005,15.999,19.993,1927062,3919901,3156090,9996641,18999694,1927062,3919901,9996641,3156090,0.7325365
6,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,773547.0,927.0,177802,22.661,0.01564,3.923,19.995,16.009,20.003,1919335,3920972,3159037,10001411,19000755,1919335,3920972,10001411,3159037,0.73273236
7,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,856662.0,1043.0,41130,22.643,0.02082,3.941,19.985,16.009,20.005,1928519,3916818,3163912,10002304,19011553,1928519,3916818,10002304,3163912,0.73278546
8,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,447015.0,614.0,251854,22.633,0.00878,3.943,20.001,16.003,19.997,1929845,3922670,3155545,9998654,19006714,1929845,3922670,9998654,3155545,0.73262954
9,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,851212.0,1012.0,771651,22.661,0.02049,3.931,20.003,15.997,20.0,1923943,3908691,3162018,9999753,18994405,1923943,3908691,9999753,3162018,0.7331179
10,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,761078.0,983.0,755305,22.645,0.01509,3.933,20.005,16.001,19.999,1924504,3924146,3157154,9999465,19005269,1924504,3924146,9999465,3157154,0.73278207
11,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,620899.0,778.0,455932,22.659,0.01126,3.934,19.997,15.996,19.998,1925543,3917595,3161905,9998754,19003797,1925543,3917595,9998754,3161905,0.73323035
12,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,791890.0,960.0,399564,22.63,0.01649,3.94,20.001,15.996,20.018,1928246,3926384,3151995,10009164,19015789,1928246,3926384,10009164,3151995,0.7324261
13,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,776777.0,911.0,294330,22.663,0.01582,3.93,20.005,15.999,20.002,1923009,3927463,3156245,10000839,19007556,1923009,3927463,10000839,3156245,0.7327423
14,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,718539.0,929.0,148231,22.647,0.01361,3.93,19.984,16.008,20.0,1922516,3921193,3156584,9999993,19000286,1922516,3921193,9999993,3156584,0.7327049
15,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,859913.0,1057.0,353175,22.668,0.02113,3.932,20.003,16.002,20.001,1924506,3919948,3161607,10000704,19006765,1924506,3919948,10000704,3161607,0.73313576
16,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,854335.0,1013.0,778554,22.636,0.02059,3.941,20.006,15.995,20.0,1928932,3930102,3150525,9999987,19009546,1928932,3930102,9999987,3150525,0.73237646
17,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,784284.0,988.0,812369,22.662,0.01607,3.938,20.008,15.994,20.0,1927483,3924427,3158928,9999934,19010772,1927483,3924427,9999934,3158928,0.7331555
18,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,747257.0,933.0,128976,22.64,0.01459,3.931,20.007,15.999,20.002,1923585,3925848,3156737,10001151,19007321,1923585,3925848,10001151,3156737,0.7326902
19,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,835617.0,1003.0,465673,22.661,0.01908,3.941,20.001,16.0,19.998,1928369,3920106,3163310,9999167,19010952,1928369,3920106,9999167,3163310,0.73313785
20,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,782923.0,958.0,346714,22.647,0.01606,3.934,20.003,16.005,19.994,1925693,3920003,3160055,9997006,19002757,1925693,3920003,9997006,3160055,0.73260343
21,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,653451.0,840.0,989558,22.653,0.01189,3.935,20.006,16.0,20.006,1925590,3920903,3159009,10003103,19008605,1925590,3920903,10003103,3159009,0.732894
22,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,887704.0,1074.0,589310,22.696,0.02415,3.934,19.987,15.999,20.0,1924893,3917115,3163362,9999803,19005173,1924893,3917115,9999803,3163362,0.73350304
23,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,851852.0,1065.0,201059,22.673,0.02045,3.937,20.011,16.011,20.004,1926230,3924582,3161934,10001935,19014681,1926230,3924582,10001935,3161934,0.73298997
24,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,827444.0,1029.0,336038,22.662,0.0186,3.942,20.0,15.999,19.998,1929364,3915899,3163043,9999180,19007486,1929364,3915899,9999180,3163043,0.7329867
25,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,863881.0,1079.0,588607,22.669,0.02146,3.934,20.007,16.001,19.995,1924765,3926071,3162576,9997725,19011137,1924765,3926071,9997725,3162576,0.733237
26,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,703742.0,825.0,466636,22.637,0.01314,3.935,19.997,16.0,19.996,1926098,3927285,3154764,9998153,19006300,1926098,3927285,9998153,3154764,0.73266035
27,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,749440.0,910.0,254431,22.666,0.01466,3.937,19.993,16.0,20.002,1926547,3918053,3161380,10000813,19006793,1926547,3918053,10000813,3161380,0.7331831
28,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,777311.0,960.0,310830,22.646,0.01587,3.935,20.002,16.0,19.993,1926152,3919213,3158824,9996406,19000595,1926152,3919213,9996406,3158824,0.73269093
29,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,649262.0,805.0,334950,22.673,0.01182,3.938,19.996,16.007,19.998,1927206,3920311,3162623,9999214,19009354,1927206,3920311,9999214,3162623,0.7331578
