,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,932837.0,7678.0,903078,38.078,0.02938,2.142,19.997,16.003,20.001,890807,2216110,4336246,10000314,17443477,890807,2216110,10000314,4336246,0.9381715
1,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,950641.0,7795.0,843982,38.02,0.03531,2.141,19.984,15.999,19.994,890141,2221660,4327727,9996812,17436340,890141,2221660,9996812,4327727,0.93761826
2,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,929368.0,7522.0,645855,38.045,0.0288,2.138,20.006,16.0,19.997,888430,2217935,4334665,9998652,17439682,888430,2217935,9998652,4334665,0.93798316
3,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,924470.0,7593.0,74186,38.066,0.02764,2.141,19.997,15.987,20.0,890173,2221245,4325174,9999968,17436560,890173,2221245,9999968,4325174,0.93786746
4,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,939446.0,7789.0,914675,38.058,0.03126,2.143,20.003,15.998,19.997,890772,2221222,4328117,9998664,17438775,890772,2221222,9998664,4328117,0.9380634
5,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,773409.0,6191.0,728426,38.052,0.01488,2.143,20.004,15.998,20.002,890893,2216718,4335532,10000822,17443965,890893,2216718,10000822,4335532,0.9377492
6,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,934518.0,7778.0,900169,38.076,0.02993,2.142,20.008,15.987,20.001,890794,2219587,4325835,10000641,17436857,890794,2219587,10000641,4325835,0.93819374
7,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,927423.0,7718.0,228564,38.102,0.02812,2.142,19.997,15.997,20.0,890783,2215582,4334784,10000056,17441205,890783,2215582,10000056,4334784,0.9386288
8,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,942009.0,7890.0,269105,38.064,0.03214,2.143,20.002,15.992,20.0,891662,2218291,4327368,9999997,17437318,891662,2218291,9999997,4327368,0.93773115
9,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,927096.0,7723.0,377003,38.064,0.02814,2.143,20.008,16.001,19.996,890477,2213050,4335142,9998127,17436796,890477,2213050,9998127,4335142,0.93807656
