,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,877132.0,2093.0,296999,29.835,0.01743,4.299,19.986,16.003,19.989,2118048,2781426,4381350,9994686,19275510,2118048,2781426,9994686,4381350,0.8399648
1,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,875197.0,2106.0,880704,29.814,0.01724,4.305,19.99,15.993,19.996,2121246,2789229,4373032,9997879,19281386,2121246,2789229,9997879,4373032,0.83951104
2,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,873741.0,2131.0,940036,29.798,0.01721,4.298,20.0,16.002,20.004,2118311,2782468,4379333,10002249,19282361,2118311,2782468,10002249,4379333,0.8393116
3,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,889278.0,2094.0,334169,29.756,0.01852,4.3,20.008,15.998,19.995,2118885,2795847,4367069,9997497,19279298,2118885,2795847,9997497,4367069,0.8385786
4,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,883046.0,2032.0,680569,29.793,0.01794,4.3,19.989,15.993,19.992,2119136,2784422,4376513,9996133,19276204,2119136,2784422,9996133,4376513,0.83943844
5,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,910425.0,2164.0,348190,29.795,0.02091,4.297,19.994,16.0,19.999,2117369,2793553,4378281,9999706,19288909,2117369,2793553,9999706,4378281,0.8394333
6,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,924037.0,2169.0,215723,29.78,0.02305,4.291,20.002,16.006,19.992,2114168,2792557,4370340,9996144,19273209,2114168,2792557,9996144,4370340,0.83879507
7,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,649088.0,1535.0,954348,29.804,0.00953,4.309,19.98,15.989,19.994,2123492,2777961,4375272,9996871,19273596,2123492,2777961,9996871,4375272,0.8392141
8,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,903642.0,2106.0,152323,29.781,0.02005,4.301,19.986,15.989,19.997,2119475,2782650,4372016,9998624,19272765,2119475,2782650,9998624,4372016,0.8392276
9,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,888223.0,2043.0,360511,29.8,0.01843,4.306,19.992,15.991,20.004,2122109,2792232,4372312,10002077,19288730,2122109,2792232,10002077,4372312,0.83966154
